Title,Price,Page
Vivo V70 - 12GB RAM 256/512GB ROM 6.59'' AMOLED Display 6500 mAh Battery 90w Charge PTA Approved 1 Year Official Brand Warranty,"Rs. 162,980",4
Google Pixel 7 Pro | official PTA approved | 12GB Ram | 128GB & 256GB storage | just like new condition without box,"Rs. 109,999",4
Tecno Camon 40 PRO || 16GB (8GB + 8GB EXTENDED) RAM + 256GB ROM || 5200mAh Battery,"Rs. 72,499",4
Itel A100C 4GB RAM 64GB ROM Front Camera 5MP Back Camera 8MP 5000mAh Battery One Year Brand Warenty,"Rs. 23,999",4
"[Official PTA Approved] Vivo Y17 - 6.35 Inches HD+ Display - Dual Sim - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - 18w Dual Engine Fast Charging - Fingerprint Seneor (Phone with Box, Imported, Mix Color)","Rs. 18,999",4
Infinix Note 60 8GB RAM 256GB ROM Front Camera 13MP Back Camera 50MP 6500mAh Battery One Year Brand Warrenty,"Rs. 93,499",4
Motorola Mobile Moto G Power 2024 | Dimensity 7020 Processor | 120Hz Display | Android 15 | TOT 16GB RAM (8+8) | American Stock Global Variant | WiFi Device(No Sims) | Free Accessories | Best Mobile Phones Low Price,"Rs. 26,997",4
"Vivo V15 - 6.53 Inches Full HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM - Motorize Popup Front 32MP Camera - Dual Engine Fast Charging (Phone with Box, NO Charger NO Accessories) - Mix Color","Rs. 23,999",4
Motorola Mobile Moto G Play 2024 - Tot 8GB RAM (4+4) - 64Gb - Single Sim Approved - Snapdragon 680 - PubG Around 60 Fps - 50MP Camera - 5000mAh Battery - 90Hz Display - Motorola Mobile - Globally Customized,"Rs. 26,007",4
Honor X8d - AMOLED LCD - 6.77 Inches Display - 8GB RAM 256GB ROM - 16MP Front Camera - 108MP+16MP Rear Camera - Snapdragon 6s 4G Gen 2 Chipset - Dual SIM - 7000mAh Battery,"Rs. 74,499",4
Apple iPhone 16 Pro Max 256GB SIM LOCK (FREE CHARGER AND COVER) - Daraz Like New Phones,"Rs. 329,999",4
Apple iPhone 17 Pro - 512GB PTA Approved,"Rs. 579,999",4
Vivo Y31d - 6.75 Inches Display - 6GB RAM 128GB ROM - 8MP Front Camera - 50MP+2MP Rear Camera - Dual SIM - 7200mAh Battery,"Rs. 58,999",4
Samsung Galaxy S25 Ultra || 12GB RAM + 512GB ROM || 5000mAh Battery,"Rs. 439,999",4
Y6 pro 2019 mobile doul sim 3/64 without box 100% original,"Rs. 13,999",4
"Y17 DUAL SIM, 5000 MH BATTERY","Rs. 16,500",4
Samsung Galaxy A17 6GB + 128GB PTA APPROVED,"Rs. 52,999",4
Daraz Like New - Apple Iphone 12 - 64GB - Non Approved - Free Cover & Charger,"Rs. 64,999",4
Samsung Galaxy s24 ULTRA | 12GB RAM | 512GB & 256GB storage | approved | WITHOUT BOX |,"Rs. 299,999",4
Vivo Y11d - 6.74'' 120Hz Display 6GB RAM 128GB ROM 50MP Camera 6500mAh Battery PTA Approved 1Year Official Brand Warranty,"Rs. 52,980",4
Tecno Camon 50 8GB RAM 256GB ROM 6500mAh Front Camera 32 MP Back Camera 50 MP Battery One Year Brand Warenty,"Rs. 80,000",4
Google Pixel 9 | 12GB RAM | 128GB storage | dual sim approved | WITHOUT BOX | latest model,"Rs. 139,999",4
Apple iPhone 15 Pro 512GB PTA APPROVED Factory Unlocked (FREE CHARGER AND COVER) - Daraz Like New Phones,"Rs. 299,999",4
Google Pixel 8a | 8GB Ram | 128GB storage | dual sim | just like new condition | without box,"Rs. 84,999",4
Tecno SPARK 30 Pro 8GB RAM 256GB ROM 108 MP Back Camera 5000 mAh Battery 1 Year Tecno PK Warranty,"Rs. 51,499",4
Redmi A5 4 GB RAM ROM 64 Non Scanned - Non Active - PTA APPROVED,"Rs. 27,999",4
Tecno SPARK 40 Pro Plus 8GB+256GB PTA APPROVED,"Rs. 61,369",4
Oppo Reno13 Pro 5G - (12+512),"Rs. 146,499",5
INFINIX HOT 60 PRO = 8GB RAM = 128GB ROM = 5160mAh BATTERY,"Rs. 58,999",5
Google Pixel 7 | Official PTA approved | 8GB ram | 128GB storage | just like new condition without box,"Rs. 74,999",5
USED - PHONES - Apple iPhone 14 Pro - 128GB - Non Approved - Brand new condition - with free cover & charger - Daraz Like New Phones (Mobile Phones),"Rs. 158,999",5
USED - Apple iPhone 13 Pro - 256GB - OFFICIAL PTA APPROVED - Brand New Condition - 85+ Battery Health - (FREE CHARGER & COVER) - Daraz Like New Phones - USED MOBILE PHONES,"Rs. 199,999",5
Samsung Galaxy A26 8/256GB - PTA APPROVED,"Rs. 94,998",5
ZTE Nubia A36 - 6.75 Inches Display - 4GB RAM 64GB ROM - 5MP Front Camera - 13MP Rear Camera - Dual SIM - 5000mAh Battery,"Rs. 24,999",5
Used Apple iPhone 14 Pro Max - 256GB - PTA APPROVED- Good condition - (FREE CHARGER AND COVER) - Daraz Like New Phones,"Rs. 294,999",5
Sony Xperia 5 6GB Ram 64GB Rom Single Sim PTA Approved,"Rs. 40,000",5
Apple iPhone 14 Pro Max - 512GB - Factory Unlock - Non Approved - Daraz Like New Phones (Mobile Phones) - Used Phone,"Rs. 229,999",5
